"cod_dpto","Dpto","Location","Lat","Long","Indicative"
"91","Amazonas","Amazonas, Colombia","-4.205278","-69.932778","8"
"05","Antioquia","Antioquia, Colombia","6.216667","-75.566667","4"
"81","Arauca","Arauca, Colombia","7.083333","-70.75","7"
"08","Atlántico","Atlántico, Colombia","10.983333","-74.783333","5"
"11","Bogotá D.C","Bogotá, D.C., Colombia","4.598889","-74.080833","1"
"13","Bolívar","Bolívar, Colombia","10.4","-75.5","5"
"15","Boyacá","Boyacá, Colombia","5.533333","-73.366667","8"
"17","Caldas","Caldas, Colombia","5.1","-75.55","6"
"18","Caquetá","Caquetá, Colombia","1.616667","-75.6","8"
"85","Casanare","Casanare, Colombia","5.35","-72.41","8"
"19","Cauca","Cauca, Colombia","2.45","-76.616667","2"
"20","Cesar","Cesar, Colombia","10.483333","-73.25","5"
"27","Chocó","Chocó, Colombia","5.7","-76.666667","4"
"23","Córdoba","Córdoba, Colombia","8.75","-75.883333","4"
"25","Cundinamarca","Cundinamarca, Colombia","5,02547142431","-73,9944757558","1"
"94","Guainía","Guainía, Colombia","3.865278","-67.923889","8"
"95","Guaviare","Guaviare, Colombia","2.566667","-72.633333","8"
"41","Huila","Huila, Colombia","2.998611","-75.304444","8"
"44","La Guajira","La Guajira, Colombia","11.55","-72.9","5"
"47","Magdalena","Magdalena, Colombia","11.241944","-74.205278","5"
"50","Meta","Meta, Colombia","4.15","-73.633333","8"
"52","Nariño","Nariño, Colombia","1.166667","-77.266667","2"
"54","Norte de Santander","Norte de Santander, Colombia","7.9","-72.5","7"
"86","Putumayo","Putumayo, Colombia","1.15","-76.616667","8"
"63","Quindio","Quindío, Colombia","4.533333","-75.7","6"
"66","Risaralda","Risaralda, Colombia","4.816667","-75.7","6"
"88","San Andrés, Providencia y Santa Catalina","San Andrés, Providencia y Santa Catalina, Colombia","12.55","-81.716667","8"
"68","Santander","Santander, Colombia","7.133333","-73","7"
"70","Sucre","Sucre, Colombia","9.3","-75.4","5"
"73","Tolima","Tolima, Colombia","4.433333","-75.233333","8"
"76","Valle del Cauca","Valle del Cauca, Colombia","3.416667","-76.516667","2"
"97","Vaupés","Vaupés, Colombia","1.2","-70.166667","8"
"99","Vichada","Vichada, Colombia","6.183333","-67.466667","8"
